p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
0,0.698643047456337,0.558,0.224,0,LRP4,Oli,Up reg
0,2.15947422697525,0.44,0.131,0,KCNAB1,Oli,Up reg
0,2.06018340623382,0.353,0.078,0,CLVS1,Oli,Up reg
1.56565986007325e-303,0.684893513904091,0.628,0.323,5.97706308189506e-299,TNIK,Oli,Up reg
7.97999822741155e-297,1.29101128146801,0.231,0.064,3.04644412329679e-292,AC022182.1,Oli,Up reg
1.04619451231838e-287,1.90994407080432,0.129,0.02,3.99395217022665e-283,ZNF334,Oli,Up reg
2.20911633513134e-261,0.96871624328197,0.239,0.075,8.4335225209974e-257,KCNK10,Oli,Up reg
2.20942357661919e-247,0.738940076750586,0.275,0.095,8.43469544610142e-243,APCDD1,Oli,Up reg
2.5916624748588e-204,0.793493181412863,0.239,0.088,9.89393066402094e-200,ITPR2,Oli,Up reg
2.39902701795203e-181,1.01315605730649,0.2,0.07,9.15852554373366e-177,KIF19,Oli,Up reg
1.31029163027263e-171,0.633052462880442,0.276,0.118,5.0021693277288e-167,LINC01470,Oli,Up reg
5.65416478112471e-141,0.644019708171391,0.176,0.066,2.15853394684217e-136,GLIPR1L2,Oli,Up reg
5.01186281099297e-136,0.659986335150632,0.182,0.071,1.91332874672468e-131,THBS4,Oli,Up reg
5.09487139432226e-119,1.13679882730724,0.09,0.024,1.94501810349647e-114,H2AFY2,Oli,Up reg
3.42165596190734e-111,0.808995687947101,0.101,0.031,1.30625138001774e-106,MYOT,Oli,Up reg
7.29014473067827e-111,0.660030518574052,0.112,0.037,2.78308565238374e-106,LRMDA,Oli,Up reg
8.4290074953761e-110,0.626341475184563,0.13,0.047,3.21785790143478e-105,LINC00909,Oli,Up reg
4.20953997127223e-106,0.647972566457567,0.136,0.052,1.60703397943288e-101,CHPT1,Oli,Up reg
1.24295751828274e-90,1.03106971807447,0.06,0.014,4.74511462179618e-86,AL133480.1,Oli,Up reg
9.31888756438099e-78,0.681306642843801,0.163,0.08,3.55757851657809e-73,AL445250.1,Oli,Up reg
1.43888967560617e-75,0.910902703031949,0.058,0.016,5.49310522559413e-71,AP001783.1,Oli,Up reg
7.63823477903903e-70,0.743087103896839,0.104,0.043,2.91597250924594e-65,MIR4300HG,Oli,Up reg
4.53294713475549e-57,1.19383307675024,0.035,0.008,1.73049789816426e-52,AC010528.1,Oli,Up reg
1.45674789390309e-55,1.02308106678016,0.066,0.024,5.56128075976443e-51,ABCA9,Oli,Up reg
4.22720498713607e-51,1.18039517515426,0.047,0.015,1.61377777588907e-46,ITGB4,Oli,Up reg
2.43737698812266e-48,0.692913476331141,0.05,0.017,9.30493038985706e-44,ELK3,Oli,Up reg
3.21190785234821e-47,1.84397130406842,0.025,0.005,1.22617794171245e-42,TMEM26,Oli,Up reg
4.07804584035437e-35,1.46526335014084,0.04,0.015,1.55683478001368e-30,FAP,Oli,Up reg
4.97010275631759e-31,0.720752585781915,0.027,0.008,1.8973864282518e-26,ZNF534,Oli,Up reg
2.36893566449099e-28,0.639103166012921,0.037,0.015,9.04364879276078e-24,VSX1,Oli,Up reg
2.31978217552358e-22,0.742955099586045,0.021,0.007,8.85600043327882e-18,MYRFL,Oli,Up reg
3.42462933152439e-21,0.899244043151884,0.02,0.007,1.30738649360275e-16,HIF3A,Oli,Up reg
1.61120057057217e-14,0.681989622528498,0.023,0.01,6.1509192982163e-10,PTPRB,Oli,Up reg
2.41368459858451e-97,0.837357207378384,0.566,0.346,9.21448232355624e-93,NLGN4Y,In,Up reg
3.80792626785567e-66,0.643318334812939,0.783,0.709,1.45371393201658e-61,SYN3,In,Up reg
1.66941120904518e-49,1.18180107284445,0.27,0.149,6.37314423165088e-45,TOGARAM2,In,Up reg
2.50692986623471e-32,1.01241197903745,0.29,0.191,9.57045545733763e-28,CENPJ,In,Up reg
2.06600465867597e-30,0.771957138773716,0.352,0.249,7.88717938496139e-26,PNPLA7,In,Up reg
3.74006252947732e-27,0.898116326852819,0.363,0.273,1.42780627125326e-22,AC007563.2,In,Up reg
1.57693085587238e-13,1.27370678306721,0.087,0.05,6.02009123537842e-09,MEPE,In,Up reg
2.88379344993047e-11,0.628581912279723,0.14,0.095,1.10091698744546e-06,ZFY,In,Up reg
5.13654770542592e-133,0.771550814858547,0.452,0.298,1.9609284520234e-128,CENPJ,Ex,Up reg
7.50784318919603e-120,1.13747351521763,0.19,0.082,2.86619421590748e-115,TOGARAM2,Ex,Up reg
5.03602463717581e-119,2.7214590304958,0.065,0.011,1.92255276548824e-114,AP005901.2,Ex,Up reg
6.53438204421098e-83,1.17022406376215,0.178,0.09,2.49456568919798e-78,AC009093.2,Ex,Up reg
2.87022467864563e-72,0.799253820710924,0.217,0.124,1.09573697331976e-67,NXN,Ex,Up reg
1.44716887233321e-46,0.845929108284372,0.26,0.182,5.52471188701927e-42,ARHGAP28,Ex,Up reg
6.11197780291159e-41,1.52426175101358,0.057,0.023,2.33330864603953e-36,MGAM,Ex,Up reg
1.76040215933397e-40,1.24976546666374,0.073,0.033,6.72051128347337e-36,GLYAT,Ex,Up reg
1.06640275123012e-39,1.171129927782,0.057,0.023,4.07109914309611e-35,AC097487.1,Ex,Up reg
1.08408967061435e-32,1.20120017398065,0.065,0.031,4.13862072653733e-28,AC004485.1,Ex,Up reg
9.41255330314747e-28,0.841015889236765,0.063,0.032,3.59333634900958e-23,GOLGA6L10,Ex,Up reg
4.34303255864872e-27,1.15768819033719,0.058,0.029,1.65799610958973e-22,AC003684.1,Ex,Up reg
5.07198721726001e-26,0.726643493670878,0.16,0.111,1.93628184006118e-21,AF279873.3,Ex,Up reg
1.35345320975053e-25,0.942681032322313,0.074,0.041,5.16694297354361e-21,CFAP97D2,Ex,Up reg
2.34801888396811e-24,0.822204076565342,0.058,0.029,8.96379689143665e-20,PMFBP1,Ex,Up reg
4.72920881357786e-24,1.14823280559711,0.048,0.023,1.80542275667148e-19,HSD11B2,Ex,Up reg
3.56220513560368e-22,1.55215085079023,0.031,0.013,1.35990743256806e-17,LINC02540,Ex,Up reg
1.11998587996281e-21,0.795129061900892,0.082,0.05,4.27565809534603e-17,TNS3,Ex,Up reg
1.58664427770846e-21,0.965909333434483,0.066,0.037,6.05717319457983e-17,WDR63,Ex,Up reg
2.83907549236644e-20,0.738369647854475,0.085,0.053,1.08384545996581e-15,AC012074.1,Ex,Up reg
4.19245741700947e-20,0.784186864231873,0.092,0.059,1.60051254351753e-15,NPIPB2,Ex,Up reg
3.1105889638865e-19,0.856522397699923,0.124,0.087,1.18749844285331e-14,Z99774.1,Ex,Up reg
1.28706178025637e-18,0.835505884097143,0.066,0.039,4.91348705230672e-14,TMEM26,Ex,Up reg
5.3697891397948e-18,1.02172199137578,0.048,0.026,2.04997070200806e-13,FAM66E,Ex,Up reg
