p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
28,0,1.91968136569036,0.218,0.06,0,AC012593.1,Oli,Up reg
590,1.5130604823913e-85,1.0201260906858,0.054,0.017,5.77625969757702e-81,MECOM,Oli,Up reg
624,5.11346364689452e-81,0.652724346584019,0.086,0.039,1.95211588183845e-76,SPSB3,Oli,Up reg
735,1.13149403291194e-72,-1.77491478254045,0.034,0.074,4.31959162004463e-68,HSPA1B,Oli,Down reg
1032,9.0365399986268e-56,0.778468125495488,0.065,0.031,3.44978950987577e-51,MYOT,Oli,Up reg
1095,1.39405190953028e-53,-1.01326431952851,0.07,0.113,5.32193256982281e-49,SGSM1,Oli,Down reg
1182,2.17774162151826e-50,1.40564602227106,0.038,0.014,8.31374641430811e-46,AL160272.1,Oli,Up reg
1457,5.85835070397319e-43,0.663952501167653,0.035,0.014,2.2364839647488e-38,AP002954.1,Oli,Up reg
1645,1.24475791236324e-39,0.880849433102832,0.035,0.015,4.75198780623792e-35,AC092574.2,Oli,Up reg
1759,2.21918873709632e-37,0.681034464416717,0.133,0.093,8.4719749227389e-33,RELN,Oli,Up reg
1774,3.54466070971395e-37,0.613305855341781,0.039,0.018,1.3532096725404e-32,POLR2L,Oli,Up reg
3062,1.12315388538966e-23,0.774959798520119,0.038,0.021,4.28775227286357e-19,THSD4,Oli,Up reg
4030,1.07838255365172e-17,0.789449207800652,0.027,0.015,4.1168332368208e-13,BOK-AS1,Oli,Up reg
4715,2.60439632311876e-14,0.990867982921049,0.015,0.007,9.94254340313817e-10,SLC2A2,Oli,Up reg
5192,3.60112807613794e-12,-0.79549468141512,0.079,0.097,1.37476665434642e-07,NEFL,Oli,Down reg
5235,6.19730949681531e-12,0.790944024425241,0.022,0.013,2.36588487350421e-07,AC008060.1,Oli,Up reg
5538,8.44366079428751e-11,-0.707726761917364,0.018,0.027,3.2234519448272e-06,CRTC3-AS1,Oli,Down reg
6044,5.77906372255982e-09,-1.22059826470953,0.015,0.023,0.000220621536672444,BEX5,Oli,Down reg
6466,1.63067911499299e-07,-0.941178938809604,0.036,0.046,0.00622528058939723,THY1,Oli,Down reg
10152,1.88511882865196e-169,-0.994126428311031,0.157,0.332,7.19662964026171e-165,NAP1L2,In,Down reg
10203,6.4187921549211e-144,-0.801689066491346,0.169,0.332,2.45043809306268e-139,BEX1,In,Down reg
10275,1.97697406256964e-123,-2.57523267518466,0.021,0.102,7.54729618126586e-119,CRH,In,Down reg
10348,4.54916535937724e-111,-0.786845683064532,0.16,0.299,1.73668936759586e-106,BEX2,In,Down reg
10473,8.77116860109604e-97,-0.702856330953147,0.146,0.273,3.34848132515443e-92,ATP6V1G1,In,Down reg
10588,1.43938462664496e-87,-1.07857011586212,0.051,0.135,5.49499475067981e-83,PNOC,In,Down reg
10827,1.09969329387275e-75,1.06127332791932,0.42,0.336,4.19818911868863e-71,LINC00486,In,Up reg
10990,6.44548369552983e-69,-0.705530553026205,0.09,0.178,2.46062785560547e-64,TMEM160,In,Down reg
12485,1.14372222261777e-42,-0.662260985262373,0.054,0.109,4.36627395706559e-38,SPRY2,In,Down reg
12935,2.15358366544482e-37,-0.928749199163004,0.039,0.084,8.22152100120215e-33,ADGRG6,In,Down reg
12994,8.15119139282751e-37,-0.735376520440617,0.028,0.067,3.11179882612583e-32,KRTCAP2,In,Down reg
13185,7.43425214160501e-35,-2.68382890857499,0.001,0.019,2.83810009757913e-30,LINC02470,In,Down reg
13202,1.03924480486095e-34,0.810341475612018,0.113,0.062,3.96742096703715e-30,SLC26A3,In,Up reg
13495,1.40903120508464e-31,1.04105596135136,0.106,0.059,5.37911752853113e-27,FAM157C,In,Up reg
13666,4.09314340151652e-30,-1.29585925926039,0.014,0.04,1.56259842496295e-25,TRBC2,In,Down reg
14781,1.83585070333519e-20,-0.889174391001285,0.021,0.046,7.00854364505242e-16,AL354822.1,In,Down reg
14934,2.88171054935633e-19,-0.861892741130382,0.013,0.032,1.10012181932227e-14,ASCL1,In,Down reg
15378,2.20864460449714e-16,0.739029101875039,0.182,0.145,8.43172164212828e-12,WASHC1,In,Up reg
15421,4.10609462341058e-16,-0.690871498787395,0.013,0.031,1.56754268343322e-11,SEMA6A-AS2,In,Down reg
15494,1.17935497100809e-15,-1.09371807949354,0.009,0.023,4.5023055373205e-11,CBLN1,In,Down reg
15499,1.21652517901449e-15,-0.877174516091958,0.016,0.034,4.64420652340572e-11,HEY1,In,Down reg
15667,1.11033919253228e-14,-0.716763555414457,0.013,0.029,4.23883090141125e-10,RNF181,In,Down reg
15681,1.44043998580471e-14,1.02533026383207,0.368,0.364,5.49902368980806e-10,KCNAB1,In,Up reg
15696,1.6657086984427e-14,-1.02040595472328,0.133,0.171,6.35900952717487e-10,TRPC3,In,Down reg
15744,2.63468899323933e-14,-0.875712672084197,0.016,0.033,1.00581887005905e-09,PPP1R3C,In,Down reg
